resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,11.7542,space,21.0667,space,21.919,space,1,0.6015,0,0,0,2,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4525,0,1,1,8,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3844,0,2,2,7,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4719,0,3,3,0,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3733,0,4,4,4,1,W,none,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,0,5,5,1,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.464,0,6,6,13,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.601,0,7,7,5,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,8,8,14,1,K,none,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4835,0,9,9,11,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5009,0,10,10,6,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.442,0,11,11,10,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.422,0,12,12,12,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,13,13,9,1,V,none,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4947,0,14,14,3,1,X,space,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,space,7.4719,space,1,0.3994,0,0,0,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.3827,0,1,1,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,0,0.2671,0,2,2,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.2774,0,3,3,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.3364,0,4,4,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.3659,0,5,5,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,0,0.3429,0,6,6,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.3534,0,7,7,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.3422,0,8,8,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO90,001,,2024-02-08_10h16.35.333,Trial go no go,2020.2.10,MacIntel,60,IwAR0JRSQvI-iuVEUmDHOPasYt00Nuj786ux6qQ3mzzc2AG3ztO_9hkhK4DRw,,,space,1,0.4009,0,9,9,48,1,X,space,,,,,,,,,,,,,,
