resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,14.9603,space,18.8141,space,15.4724,space,1,0.7794,0,0,0,0,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4982,0,1,1,8,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5224,0,2,2,11,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4244,0,3,3,2,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4004,0,4,4,1,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4174,0,5,5,13,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5662,0,6,6,6,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.392,0,7,7,7,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4227,0,8,8,12,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,9,9,14,1,K,none,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4535,0,10,10,5,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,11,11,4,1,W,none,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4348,0,12,12,3,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3913,0,13,13,10,1,X,space,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,9,1,V,none,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,space,8.0529,space,1,0.468,0,0,0,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO102,001,,2024-04-15_13h44.24.611,Trial go no go,2020.2.10,MacIntel,60,IwAR27qxJW9HKZ2F2W9_xplm4tTkCG7Z6lfUo448jjkqMzXv9i8obfaRVBiNM_aem_AfvHrrKYCWvWHNMp82BQJfJSsziaxu1owLz9Ay7QgJCdVPE2I8WS8rMOTJqdAemWfKzvowpnsq8b9pc1mjplZ0Y5,,,space,1,0.8819,0,1,1,43,1,X,space,,,,,,,,,,,,,,
