resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,15.1074,space,13.6014,space,10.5731,space,1,0.5951,0,0,0,6,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6925,0,1,1,1,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3948,0,2,2,2,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4222,0,3,3,8,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4411,0,4,4,13,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,4,1,W,none,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4562,0,6,6,10,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5614,0,7,7,3,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4733,0,8,8,5,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4601,0,9,9,11,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,10,10,14,1,K,none,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3832,0,11,11,7,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4365,0,12,12,12,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4055,0,13,13,0,1,X,space,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,9,1,V,none,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM18B,001,PUM18B,2023-11-06_08h58.08.558,Trial go no go,2020.2.10,Win32,60,space,4.5217,,0,0,0,0,0,1,X,space,,,,,,,,,,,,,,,
