resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,9.0339,space,26.3907,space,17.4354,,0,0,0,0,13,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,12,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.5073,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,6,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.5363,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,7,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.4732,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,3,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.5068,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,5,5,4,1,W,none,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,5,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.4855,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,7,7,9,1,V,none,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,11,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.5214,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,0,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.6273,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,1,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.4878,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,10,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.5108,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,8,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.4556,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,2,1,X,space,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,0.4523,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,14,14,14,1,K,none,WWA66,001,WWA66 ,2023-10-09_13h18.06.557,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
