resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,26.0943,space,17.7976,space,13.5644,space,1,0.6705,0,0,0,2,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4494,0,1,1,5,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,2,2,9,1,V,none,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,14,1,K,none,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3858,0,4,4,6,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.502,0,5,5,13,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3881,0,6,6,8,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3583,0,7,7,3,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4554,0,8,8,1,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3642,0,9,9,12,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.378,0,10,10,10,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3636,0,11,11,7,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3325,0,12,12,11,1,X,space,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.2866,0,13,13,4,1,W,none,PUM29B,001,PUM29B,2024-02-01_08h43.49.043,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
