resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,12.9104,space,20.4971,space,19.7386,space,1,0.6247,0,0,0,8,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.557,0,1,1,3,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3904,0,2,2,10,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4599,0,3,3,1,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,4,4,4,1,W,none,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6047,0,5,5,13,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4365,0,6,6,7,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4526,0,7,7,0,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4359,0,8,8,6,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4888,0,9,9,11,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4515,0,10,10,5,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3873,0,11,11,2,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4022,0,12,12,12,1,X,space,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3293,0,13,13,14,1,K,none,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,9,1,V,none,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,space,8.7597,,0,0,0,0,11,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,1,1,17,1,X,space,0.5061,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,0,0,2,2,42,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,1,0,3,3,24,1,H,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,4,4,33,1,X,space,0.4538,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,,1,0,5,5,4,1,V,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,6,6,43,1,X,space,0.3721,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,7,7,48,1,X,space,0.504,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,8,8,10,1,X,space,0.4025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,9,9,35,1,X,space,0.403,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,10,10,1,1,X,space,0.2729,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,11,11,5,1,X,space,0.2564,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,12,12,45,1,X,space,0.3044,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,13,13,12,1,X,space,0.3038,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA107,001,WWA107,2024-02-12_11h18.21.823,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,14,14,8,1,X,space,0.3208,,,,,,,,,,,,,,
