resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,15.037,space,16.109,space,11.554,,0,0,0,0,2,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,6,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.8016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,2,2,14,1,K,none,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,12,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,4,4,9,1,V,none,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,5,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,7,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4693,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4042,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,3,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4172,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,0,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4413,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,13,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4181,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,11,11,4,1,W,none,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,10,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4668,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,11,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.4022,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,1,1,X,space,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,0.3856,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,space,7.3441,space,1,0.5242,0,0,0,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4253,0,1,1,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3207,0,2,2,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2895,0,3,3,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,4,4,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,5,5,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3695,0,6,6,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,7,7,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3,0,8,8,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4545,0,9,9,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,10,10,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3438,0,11,11,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4429,0,12,12,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3796,0,13,13,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3887,0,14,14,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3844,0,15,15,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4371,0,16,16,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.363,0,17,17,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,18,18,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3682,0,19,19,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4353,0,20,20,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.328,0,21,21,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3677,0,22,22,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,23,23,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3169,0,24,24,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3257,0,25,25,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3343,0,26,26,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,27,27,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.349,0,28,28,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3479,0,29,29,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2883,0,30,30,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3601,0,31,31,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA86,001,WWA86,2023-12-15_10h47.37.986,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.304,0,32,32,31,1,X,space,,,,,,,,,,,,,,
