resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,19.3792,space,24.6358,space,17.403,,1,0,0,0,4,1,W,none,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.5939,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,6,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.4116,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,7,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.3346,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,8,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,5,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.3898,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,10,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.3843,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,2,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.3481,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,13,1,X,space,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.4245,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,9,9,14,1,K,none,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,0.2508,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,10,10,9,1,V,none,PUM22B,001,PUM22B,2023-12-06_08h43.31.390,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
