resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,15.3641,space,24.8867,space,10.6889,space,1,0.7474,0,0,0,0,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7029,0,1,1,12,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,2,2,9,1,V,none,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5634,0,3,3,8,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4195,0,4,4,5,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,4,1,W,none,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4021,0,6,6,11,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4199,0,7,7,1,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3915,0,8,8,7,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4045,0,9,9,13,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.434,0,10,10,2,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3944,0,11,11,10,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,12,12,14,1,K,none,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4044,0,13,13,3,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4031,0,14,14,6,1,X,space,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,space,3.0291,space,1,0.5346,0,0,0,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4323,0,1,1,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3074,0,2,2,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3193,0,3,3,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3024,0,4,4,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.304,0,5,5,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3356,0,6,6,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3431,0,7,7,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3755,0,8,8,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3532,0,9,9,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3591,0,10,10,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3694,0,11,11,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3889,0,12,12,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,space,0,0.3105,0,13,13,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,14,14,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA41,001,WWA41,2023-07-20_10h19.30.696,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,15,15,24,1,H,none,,,,,,,,,,,,,,
