resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,12.5797,space,18.8035,space,9.8115,space,1,0.587,0,0,0,3,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6829,0,1,1,6,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4606,0,2,2,10,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,4,1,W,none,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4743,0,4,4,0,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4533,0,5,5,11,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4703,0,6,6,2,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4346,0,7,7,13,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4117,0,8,8,1,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3862,0,9,9,5,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3495,0,10,10,8,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.2786,0,11,11,12,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3137,0,12,12,7,1,X,space,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.317,0,13,13,9,1,V,none,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,14,1,K,none,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,space,8.9039,space,1,0.7734,0,0,0,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.6168,0,1,1,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,2,2,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3341,0,3,3,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,4,4,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3478,0,5,5,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,6,6,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3009,0,7,7,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA74,001,WWA74,2023-11-08_10h04.10.460,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,8,8,34,1,N,none,,,,,,,,,,,,,,
