resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,15.0053,space,14.7172,space,15.4008,space,1,0.8365,0,0,0,1,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3721,0,1,1,8,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3562,0,2,2,3,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3241,0,3,3,12,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3494,0,4,4,14,1,K,none,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5371,0,5,5,2,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,9,1,V,none,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,4,1,W,none,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4148,0,8,8,6,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3587,0,9,9,10,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3761,0,10,10,0,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3478,0,11,11,13,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3464,0,12,12,11,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3171,0,13,13,7,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3217,0,14,14,5,1,X,space,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,space,7.0706,space,1,0.7116,0,0,0,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2811,0,1,1,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3364,0,2,2,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3407,0,3,3,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3141,0,4,4,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2874,0,5,5,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2112,0,6,6,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,,1,,0,7,7,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3856,0,8,8,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2893,0,9,9,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2999,0,10,10,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3012,0,11,11,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2651,0,12,12,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2532,0,13,13,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3324,0,14,14,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3343,0,15,15,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2347,0,16,16,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2845,0,17,17,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4233,0,18,18,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO67,001,WRO67,2023-10-25_13h49.43.320,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3512,0,19,19,38,1,X,space,,,,,,,,,,,,,,
