resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,17.0094,space,35.627,space,19.1215,space,1,0.5241,0,0,0,13,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4739,0,1,1,6,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,2,2,4,1,W,none,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,14,1,K,none,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5999,0,4,4,10,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4176,0,5,5,0,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4034,0,6,6,3,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,9,1,V,none,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4543,0,8,8,11,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.438,0,9,9,1,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3846,0,10,10,2,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3477,0,11,11,7,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6417,0,12,12,8,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3966,0,13,13,12,1,X,space,PUM02K,001,PUM02K,2023-11-03_08h43.12.645,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
