resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,7.384,space,21.8366,space,13.8242,space,1,0.4911,0,0,0,3,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,1,1,9,1,V,none,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4393,0,2,2,13,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6968,0,3,3,8,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.403,0,4,4,5,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4211,0,5,5,6,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,4,1,W,none,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4062,0,7,7,0,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5165,0,8,8,7,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,9,9,14,1,K,none,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7841,0,10,10,2,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4714,0,11,11,1,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3954,0,12,12,10,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4139,0,13,13,12,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.357,0,14,14,11,1,X,space,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,space,5.2691,space,1,0.4291,0,0,0,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,1,,0,1,1,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3222,0,2,2,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3868,0,3,3,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3532,0,4,4,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,1,,0,5,5,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3088,0,6,6,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3364,0,7,7,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4032,0,8,8,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3753,0,9,9,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,0,0.3846,0,10,10,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4666,0,11,11,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4446,0,12,12,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3749,0,13,13,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3113,0,14,14,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,1,,0,15,15,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.423,0,16,16,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3421,0,17,17,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4173,0,18,18,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3078,0,19,19,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,1,,0,20,20,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3662,0,21,21,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,1,,0,22,22,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,,1,,0,23,23,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO88,001,WRO88,2023-12-29_13h31.36.090,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2508,0,24,24,8,1,X,space,,,,,,,,,,,,,,
