resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,9.0336,space,18.5044,space,7.4744,,1,0,0,0,9,1,V,none,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,13,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.5147,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,11,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.5015,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,0,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4053,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,7,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,12,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4231,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,6,6,14,1,K,none,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.5159,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,5,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,2,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4394,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,1,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4409,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,3,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4047,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,10,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4599,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,13,13,4,1,W,none,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,6,1,X,space,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,0.4721,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,space,7.2876,,0,0,0,0,13,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,1,1,28,1,X,space,0.3318,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,2,2,43,1,X,space,0.2905,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,3,3,2,1,X,space,0.2864,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,4,4,0,1,X,space,0.2947,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,5,5,37,1,X,space,0.3094,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,6,6,25,1,X,space,0.2877,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,7,7,10,1,X,space,0.3746,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0,8,8,19,1,K,none,0.2791,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,9,9,33,1,X,space,0.4006,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,0,0,10,10,32,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,11,11,40,1,X,space,0.303,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0,12,12,34,1,N,none,0.3197,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,0,0,13,13,7,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,14,14,47,1,X,space,0.4854,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,1,0,15,15,9,1,W,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,16,16,17,1,X,space,0.2877,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,17,17,15,1,X,space,0.3895,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,18,18,30,1,X,space,0.3363,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,19,19,12,1,X,space,0.3217,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,20,20,26,1,X,space,0.3698,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,21,21,42,1,X,space,0.4253,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,22,22,8,1,X,space,0.359,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,23,23,35,1,X,space,0.2858,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,24,24,46,1,X,space,0.2991,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0,25,25,14,1,Y,none,0.2954,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0,26,26,24,1,H,none,0.2664,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,0,0,27,27,5,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,28,28,41,1,X,space,0.258,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,29,29,20,1,X,space,0.268,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,30,30,11,1,X,space,0.2713,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,1,0,31,31,39,1,M,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,32,32,48,1,X,space,0.2561,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,33,33,45,1,X,space,0.3022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,34,34,27,1,X,space,0.3022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,35,35,23,1,X,space,0.2947,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,36,36,18,1,X,space,0.3043,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,,1,0,37,37,49,1,E,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,38,38,31,1,X,space,0.2547,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA132,001,WWA132,2024-01-29_14h03.59.984,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,39,39,16,1,X,space,0.2731,,,,,,,,,,,,,,
