resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,11.7994,space,21.6808,space,16.1663,space,1,0.6632,0,0,0,6,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5597,0,1,1,12,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.543,0,2,2,3,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7724,0,3,3,1,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.4879,0,4,4,9,1,V,none,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,14,1,K,none,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6135,0,6,6,7,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5421,0,7,7,10,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5457,0,8,8,2,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6334,0,9,9,11,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7338,0,10,10,0,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5066,0,11,11,8,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.1469,0,12,12,5,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,0,13,13,13,1,X,space,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,4,1,W,none,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,space,13.5013,space,1,0.4044,0,0,0,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3928,0,1,1,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4063,0,2,2,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA90,001,WWA90,2023-12-15_12h32.51.797,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3211,0,3,3,7,1,X,space,,,,,,,,,,,,,,
